personagem,magia,forca,inteligencia
Superman,0,10,8
Batman,0,3,10
Mulher-Maravilha,1,9,8
Flash,0,2,7
Lanterna Verde,5,7,7
Aquaman,0,8,6
Ciborgue,0,6,9
Shazam,8,10,5
Doutor Estranho,10,3,9
Thor,5,10,7
Homem de Ferro,0,7,10
Capitão América,0,6,8
Hulk,0,10,6
Homem-Aranha,0,5,9
Viúva Negra,0,3,8
Pantera Negra,0,6,9
Groot,0,8,3
Rocket Raccoon,0,2,9
Deadpool,0,4,6
Wolverine,0,7,5
Feiticeira Escarlate,9,4,7
Visão,5,9,9
Magneto,7,7,8
Professor X,9,2,10
Ciclope,0,4,7
Ravena,10,4,7
Robin,0,3,9
Lobo,0,10,6
Doutor Destino,9,8,10
Constantine,8,2,9
